maturity,yield,estimated
3,,9.876166732157749
6,,10.839272471716729
9,,11.70073499562101
12,,12.468816764977372
24,,14.751538466909185
32,15.68,15.709717129793749
36,,16.055868112463898
41,16.5,16.38363196937691
45,16.5,16.572355941780188
48,,16.676080285693033
60,,16.825121866536882
71,16.5,16.679684543631435
80,16.5,16.423090093910172
83,16.5,16.317087394828768
84,,16.27984976556989
88,16.5,16.122390451073173
91,15.5,15.996338618141651
115,14.86,14.835466491212856
120,,14.57592882293827
240,,9.365947460564964
