maturity,yield,estimated
3,,12.347313310275847
6,,13.64961886955742
9,,14.440331056188045
12,,14.947877796123445
24,,15.840327955223163
32,15.68,16.05156118556504
36,,16.10991145471664
41,16.5,16.15563597985579
45,16.5,16.176730220894484
48,,16.18593547019991
60,,16.187101825152695
71,16.5,16.162315019699907
80,16.5,16.135401675863893
83,16.5,16.125994287586753
84,,16.12284534663901
88,16.5,16.110262033027695
91,15.5,16.100903824012605
115,14.86,16.032775020549188
120,,16.020488945912792
240,,15.863032210370655
