maturity,yield,estimated
0,11.35,
3,11.21,16.48389369080926
6,,15.948174492930455
9,,15.583150373629632
12,,15.327826313331414
24,13.422,14.827220196781461
36,,14.636490233581643
48,,14.539938216147045
58,12.632,14.489950891262955
60,,14.48195253221704
73,12.92,14.440645822648937
82,12.877,14.419721260906908
84,,14.415680276704785
118,14.25,14.367941888627662
120,,14.365976190481499
240,,14.307988095238095
