maturity,yield,estimated
3,,15.842974330343118
6,,16.355969324937625
9,,16.81328835124029
12,,17.215860633807253
17,17.84,17.76763805358344
24,,18.296819192536432
36,,18.572886285885758
48,,18.097620732470084
51,17.503,17.867403706663126
53,17.502,17.689980583074295
55,17.503,17.493662465208423
56,16.83,17.388487061696935
60,,16.921649590914953
61,17.5,16.793542065133884
64,17.501,16.38229389488012
72,14.33,15.092819127606468
84,,12.656338199568026
120,,2.116332121605069
240,,-57.78005035623187
