maturity,yield,estimated
3,11.95,11.987973962468661
6,12.054,11.996175618318288
9,,12.061324526462675
12,,12.165325378568479
24,,12.747094849260462
29,12.805,13.001986277699622
31,13.255,13.100549358053152
36,,13.334828597052917
48,,13.814851625427067
49,13.647,13.84956145497819
52,14.25,13.949084345779575
60,,14.183095286928296
70,14.5,14.420575121500992
76,14.35,14.53907491333112
84,,14.674521790877847
119,15.1,15.067149831276994
120,,15.075126673670823
240,,15.55166810531736
