maturity,yield,estimated
3,,
4,11.4,
6,,
9,0.0,
12,,
24,,
27,12.17,
30,12.2,
36,,
48,,
53,12.9,
59,13.005,
60,,
65,13.0,
81,14.0,
84,,
116,15.1,
120,,
240,,
