maturity,yield,estimated
3,,17.357133771791066
6,,17.02921500991851
9,,16.727477366255123
12,,16.45114372462676
16,16.05,16.1209112515859
18,16.05,15.971681666900682
24,,15.585011409300465
36,,15.068274660760714
48,,14.860177392754581
60,,14.924113428841128
79,15.5,15.502617432592206
84,,15.73999277768803
104,17.0,16.989945867800152
120,,18.285195983256806
240,,32.48821931851037
