maturity,yield,estimated
3,,11.606755200428605
6,,11.871443423758663
9,,12.027672963517297
12,,12.156450124173032
24,,12.599579961029537
36,,13.008627855590582
42,13.2,13.20763644509706
45,13.507,13.30610510673342
48,,13.40394978691064
56,13.405,13.662066283747595
60,,13.789699338909768
75,14.345,14.26055471350863
84,,14.537516319278534
120,,15.606729948137044
240,,18.768679705389914
