maturity,yield,estimated
3,,
6,,
9,,
12,,
24,,
27,21.0,
32,16.86,
36,,
46,14.94,
48,,
50,13.785,
54,14.11,
60,13.1,
72,16.005,
79,16.52,
84,,
89,18.05,
120,,
240,,
