maturity,yield,estimated
3,,30.705602303465568
6,0.0,-0.06233473959545288
9,,-2.5628967818397146
12,0.0,0.15700300978526016
24,,8.322692255110749
35,11.763,10.917218248235676
36,,11.060702982989383
44,11.85,11.917143850703035
48,,12.208089393628901
53,12.26,12.488872331634376
58,12.27,12.703186772234927
59,12.238,12.739854491577454
60,,12.774755913223089
84,,13.286154838082068
111,13.882,13.56956860145483
117,13.86,13.6226062646783
120,,13.648846482615276
240,,14.857881126790518
