maturity,yield,estimated
3,,20.561101520502525
5,20.762,20.762020293106403
6,,20.80666660828277
9,,20.79368021528297
12,,20.649560563405515
17,20.3,20.30019516937189
24,,19.80491555921918
36,,19.17364002203296
48,,18.782249510382893
60,,18.53258045688573
62,18.5,18.4999276854961
84,,18.24183500337494
120,,18.022917773087435
240,,17.767466513198197
